"Date","Price","Open","High","Low","Vol.","Change %"
"27-07-2023","29,745.00","29,826.00","29,895.00","29,670.50","36.22M","-0.19%"
"26-07-2023","29,800.40","29,854.40","29,988.90","29,770.20","15.98M","0.13%"
"25-07-2023","29,761.15","29,899.00","29,921.40","29,685.40","17.99M","-0.28%"
"24-07-2023","29,843.45","29,993.85","30,112.90","29,807.15","21.69M","-0.09%"
"21-07-2023","29,871.05","29,854.25","30,338.10","29,701.20","78.28M","-4.09%"
"20-07-2023","31,145.95","31,292.35","31,348.60","30,960.75","20.48M","-0.66%"
"19-07-2023","31,353.55","31,490.45","31,653.85","31,068.15","29.97M","-0.06%"
"18-07-2023","31,371.15","31,089.90","31,491.75","30,865.85","37.12M","1.06%"
"17-07-2023","31,041.60","31,007.60","31,658.10","30,805.00","51.05M","0.31%"
"14-07-2023","30,945.50","29,860.55","31,017.55","29,847.05","53.64M","4.45%"
"13-07-2023","29,628.20","29,158.55","29,903.65","29,115.70","39.79M","1.75%"
"12-07-2023","29,118.05","29,412.50","29,424.75","29,020.20","24.42M","-0.71%"
"11-07-2023","29,324.80","29,299.30","29,371.50","29,092.70","20.06M","0.45%"
"10-07-2023","29,194.75","29,609.85","29,609.85","29,116.30","15.84M","-1.24%"
"07-07-2023","29,560.45","29,654.25","29,937.75","29,508.85","18.80M","-0.82%"
"06-07-2023","29,805.20","29,792.10","29,848.05","29,690.25","18.42M","-0.12%"
"05-07-2023","29,841.85","29,910.00","29,910.35","29,702.65","21.32M","0.38%"
"04-07-2023","29,729.85","29,557.55","29,743.35","29,444.80","19.02M","1.04%"
"03-07-2023","29,424.80","29,648.40","29,718.95","29,334.40","19.27M","-0.47%"
"30-06-2023","29,563.00","29,013.15","29,594.20","28,957.15","27.99M","2.50%"
"28-06-2023","28,843.00","28,945.00","28,997.35","28,778.15","15.97M","0.15%"
"27-06-2023","28,800.15","28,681.95","28,821.85","28,630.45","11.74M","0.73%"
"26-06-2023","28,590.10","28,539.80","28,631.75","28,451.15","12.11M","0.13%"
"23-06-2023","28,554.30","28,747.60","28,752.50","28,482.15","18.32M","-0.89%"
"22-06-2023","28,811.15","28,969.15","28,977.90","28,750.40","17.64M","-0.74%"
"21-06-2023","29,025.70","29,022.70","29,084.45","28,869.80","15.56M","0.33%"
"20-06-2023","28,930.80","28,728.50","28,966.95","28,640.30","20.01M","0.78%"
"19-06-2023","28,708.30","28,641.45","28,750.70","28,568.55","16.25M","0.42%"
"16-06-2023","28,588.80","28,671.10","28,759.40","28,441.05","42.62M","-0.38%"
"15-06-2023","28,699.00","28,824.60","28,833.25","28,645.80","27.88M","-0.54%"
"14-06-2023","28,855.05","28,896.25","28,928.65","28,666.90","18.29M","-0.15%"
"13-06-2023","28,899.30","28,935.90","28,974.15","28,866.20","17.91M","0.40%"
"12-06-2023","28,784.00","28,457.45","28,844.30","28,402.55","18.16M","1.51%"
"09-06-2023","28,355.35","28,645.70","28,674.45","28,322.15","19.08M","-0.82%"
"08-06-2023","28,591.10","28,892.65","28,918.05","28,568.60","18.99M","-1.12%"
"07-06-2023","28,913.70","28,886.70","28,937.95","28,754.85","16.86M","0.78%"
"06-06-2023","28,689.05","29,003.50","29,013.90","28,485.85","27.34M","-1.88%"
"05-06-2023","29,238.75","29,459.15","29,533.40","29,217.35","14.80M","-0.30%"
"02-06-2023","29,328.15","29,485.85","29,550.15","29,272.55","21.17M","-0.40%"
"01-06-2023","29,446.25","29,455.35","29,599.10","29,382.05","13.57M","0.43%"
"31-05-2023","29,319.75","29,248.05","29,495.05","29,212.50","46.02M","0.08%"
"30-05-2023","29,297.65","29,253.50","29,405.20","29,172.70","17.29M","0.20%"
"29-05-2023","29,240.20","29,629.75","29,659.60","29,200.25","13.61M","-0.39%"
"26-05-2023","29,355.90","28,975.95","29,384.85","28,975.95","17.55M","1.48%"
"25-05-2023","28,928.75","28,854.95","28,970.95","28,686.20","16.18M","0.13%"
"24-05-2023","28,890.80","28,721.15","28,959.35","28,655.00","14.78M","0.06%"
"23-05-2023","28,873.70","29,076.50","29,319.90","28,830.00","20.77M","-0.46%"
"22-05-2023","29,007.30","28,357.60","29,062.05","28,294.25","22.15M","2.49%"
"19-05-2023","28,303.65","28,063.35","28,369.40","28,007.05","22.93M","1.47%"
"18-05-2023","27,892.55","28,125.45","28,137.70","27,858.75","13.85M","-0.18%"
"17-05-2023","27,942.95","28,197.80","28,300.10","27,776.80","22.44M","-0.97%"
"16-05-2023","28,216.00","28,252.75","28,421.05","28,178.70","12.30M","0.18%"
"15-05-2023","28,165.40","28,083.75","28,323.55","27,957.50","13.67M","0.49%"
"12-05-2023","28,028.40","28,070.85","28,164.45","27,874.10","15.49M","-0.26%"
